Peak_ID	Cons_Repeat_Groups	Max_Cons_Repeats
SRR2062968_terra_peak_13241	1	12
SRR2062968_terra_peak_11964	1	12
SRR2062968_terra_peak_18565	2	11
SRR2062968_terra_peak_7061	10	11
SRR2062968_terra_peak_546	2	11
SRR2062968_terra_peak_7661	2	11
SRR2062968_terra_peak_26396	1	11
SRR2062968_terra_peak_4629	1	11
SRR2062968_terra_peak_6720	1	11
SRR2062968_terra_peak_3185	1	11
SRR2062968_terra_peak_16616	1	11
SRR2062968_terra_peak_12499	1	11
SRR2062968_terra_peak_9919	1	11
SRR2062968_terra_peak_17187	1	11
SRR2062968_terra_peak_9898	1	11
SRR2062968_terra_peak_3423	1	11
SRR2062968_terra_peak_8862	1	11
SRR2062968_terra_peak_563	1	11
SRR2062968_terra_peak_3053	1	11
SRR2062968_terra_peak_19092	1	11
SRR2062968_terra_peak_146	1	11
SRR2062968_terra_peak_14224	1	11
SRR2062968_terra_peak_5659	6	10
SRR2062968_terra_peak_9686	2	10
SRR2062968_terra_peak_3970	1	10
SRR2062968_terra_peak_10204	1	10
SRR2062968_terra_peak_5758	1	10
SRR2062968_terra_peak_2413	1	10
SRR2062968_terra_peak_17873	1	10
SRR2062968_terra_peak_10930	1	10
SRR2062968_terra_peak_8913	1	10
SRR2062968_terra_peak_8786	1	10
SRR2062968_terra_peak_7708	1	10
SRR2062968_terra_peak_26642	1	10
SRR2062968_terra_peak_25795	1	10
SRR2062968_terra_peak_15970	1	10
SRR2062968_terra_peak_11582	1	10
SRR2062968_terra_peak_112	1	10
SRR2062968_terra_peak_20512	7	9
SRR2062968_terra_peak_11448	3	9
SRR2062968_terra_peak_11594	2	9
SRR2062968_terra_peak_25014	2	9
SRR2062968_terra_peak_16832	6	9
SRR2062968_terra_peak_21340	2	9
SRR2062968_terra_peak_1794	1	9
SRR2062968_terra_peak_29332	1	9
SRR2062968_terra_peak_2080	1	9
SRR2062968_terra_peak_7055	1	9
SRR2062968_terra_peak_6563	1	9
SRR2062968_terra_peak_599	1	9
SRR2062968_terra_peak_24123	1	9
SRR2062968_terra_peak_22431	1	9
SRR2062968_terra_peak_7085	1	9
SRR2062968_terra_peak_2661	1	9
SRR2062968_terra_peak_9457	1	9
SRR2062968_terra_peak_8957	1	9
SRR2062968_terra_peak_27405	1	9
SRR2062968_terra_peak_23046	1	9
SRR2062968_terra_peak_9664	1	9
SRR2062968_terra_peak_8762	1	9
SRR2062968_terra_peak_6311	1	9
SRR2062968_terra_peak_347	1	9
SRR2062968_terra_peak_26823	1	9
SRR2062968_terra_peak_23553	1	9
SRR2062968_terra_peak_21097	1	9
SRR2062968_terra_peak_1962	1	9
SRR2062968_terra_peak_17808	1	9
SRR2062968_terra_peak_1739	1	9
SRR2062968_terra_peak_16302	1	9
SRR2062968_terra_peak_11897	1	9
SRR2062968_terra_peak_3887	4	8
SRR2062968_terra_peak_27185	2	8
SRR2062968_terra_peak_12657	2	8
SRR2062968_terra_peak_15536	2	8
SRR2062968_terra_peak_8539	1	8
SRR2062968_terra_peak_6843	1	8
SRR2062968_terra_peak_14776	1	8
SRR2062968_terra_peak_13805	1	8
SRR2062968_terra_peak_11901	1	8
SRR2062968_terra_peak_9099	1	8
SRR2062968_terra_peak_3794	1	8
SRR2062968_terra_peak_2763	1	8
SRR2062968_terra_peak_25381	1	8
SRR2062968_terra_peak_20103	1	8
SRR2062968_terra_peak_19222	1	8
SRR2062968_terra_peak_14544	1	8
SRR2062968_terra_peak_20379	4	7
SRR2062968_terra_peak_29299	3	7
SRR2062968_terra_peak_20361	2	7
SRR2062968_terra_peak_6070	5	7
SRR2062968_terra_peak_25138	2	7
SRR2062968_terra_peak_26082	2	7
SRR2062968_terra_peak_22930	2	7
SRR2062968_terra_peak_14223	1	7
SRR2062968_terra_peak_4047	1	7
SRR2062968_terra_peak_27059	1	7
SRR2062968_terra_peak_4796	1	7
SRR2062968_terra_peak_7105	2	6
SRR2062968_terra_peak_14519	8	6
SRR2062968_terra_peak_13644	2	6
SRR2062968_terra_peak_13029	2	6
SRR2062968_terra_peak_2152	2	6
SRR2062968_terra_peak_29463	1	6
SRR2062968_terra_peak_29218	1	6
SRR2062968_terra_peak_11535	2	5
SRR2062968_terra_peak_5427	2	5
SRR2062968_terra_peak_9900	1	5
SRR2062968_terra_peak_13989	1	4
SRR2062968_terra_peak_30269	1	4
SRR2062968_terra_peak_19772	1	4
SRR2062968_terra_peak_12083	1	4
SRR2062968_terra_peak_19685	0	3
SRR2062968_terra_peak_15377	0	3
SRR2062968_terra_peak_10101	0	3
SRR2062968_terra_peak_18385	0	3
SRR2062968_terra_peak_8119	0	3
SRR2062968_terra_peak_30270	0	2
SRR2062968_terra_peak_30234	0	2
SRR2062968_terra_peak_22972	0	2
SRR2062968_terra_peak_490	0	2
SRR2062968_terra_peak_119	0	2
SRR2062968_terra_peak_6103	0	2
SRR2062968_terra_peak_11816	0	2
SRR2062968_terra_peak_29136	0	1
SRR2062968_terra_peak_26691	0	1
SRR2062968_terra_peak_28207	0	1
SRR2062968_terra_peak_12788	0	1
SRR2062968_terra_peak_7312	0	1
SRR2062968_terra_peak_7302	0	1
SRR2062968_terra_peak_29137	0	1
SRR2062968_terra_peak_28297	0	1
SRR2062968_terra_peak_280	0	1
SRR2062968_terra_peak_7289	0	1
SRR2062968_terra_peak_30271	0	1
SRR2062968_terra_peak_30261	0	1
SRR2062968_terra_peak_30067	0	1
SRR2062968_terra_peak_29984	0	1
SRR2062968_terra_peak_7507	0	1
SRR2062968_terra_peak_7272	0	1
SRR2062968_terra_peak_6629	0	1
SRR2062968_terra_peak_30268	0	1
SRR2062968_terra_peak_30256	0	1
SRR2062968_terra_peak_30068	0	1
SRR2062968_terra_peak_30062	0	1
SRR2062968_terra_peak_25347	0	1
SRR2062968_terra_peak_14517	0	1
SRR2062968_terra_peak_12280	0	1
SRR2062968_terra_peak_9554	0	1
SRR2062968_terra_peak_7669	0	1
SRR2062968_terra_peak_7541	0	1
SRR2062968_terra_peak_7509	0	1
SRR2062968_terra_peak_7483	0	1
SRR2062968_terra_peak_7311	0	1
SRR2062968_terra_peak_7288	0	1
SRR2062968_terra_peak_7092	0	1
SRR2062968_terra_peak_4697	0	1
SRR2062968_terra_peak_4490	0	1
SRR2062968_terra_peak_30267	0	1
SRR2062968_terra_peak_30264	0	1
SRR2062968_terra_peak_30263	0	1
SRR2062968_terra_peak_30228	0	1
SRR2062968_terra_peak_30226	0	1
SRR2062968_terra_peak_30222	0	1
SRR2062968_terra_peak_30178	0	1
SRR2062968_terra_peak_30088	0	1
SRR2062968_terra_peak_29459	0	1
SRR2062968_terra_peak_29458	0	1
SRR2062968_terra_peak_29456	0	1
SRR2062968_terra_peak_29016	0	1
SRR2062968_terra_peak_28976	0	1
SRR2062968_terra_peak_28323	0	1
SRR2062968_terra_peak_28301	0	1
SRR2062968_terra_peak_28299	0	1
SRR2062968_terra_peak_28287	0	1
SRR2062968_terra_peak_28206	0	1
SRR2062968_terra_peak_28195	0	1
SRR2062968_terra_peak_27203	0	1
SRR2062968_terra_peak_26297	0	1
SRR2062968_terra_peak_26247	0	1
SRR2062968_terra_peak_26058	0	1
SRR2062968_terra_peak_26052	0	1
SRR2062968_terra_peak_26026	0	1
SRR2062968_terra_peak_26009	0	1
SRR2062968_terra_peak_26007	0	1
SRR2062968_terra_peak_25971	0	1
SRR2062968_terra_peak_25880	0	1
SRR2062968_terra_peak_25491	0	1
SRR2062968_terra_peak_24919	0	1
SRR2062968_terra_peak_23441	0	1
SRR2062968_terra_peak_2197	0	1
SRR2062968_terra_peak_21789	0	1
SRR2062968_terra_peak_2040	0	1
SRR2062968_terra_peak_19799	0	1
SRR2062968_terra_peak_19652	0	1
SRR2062968_terra_peak_1876	0	1
SRR2062968_terra_peak_18681	0	1
SRR2062968_terra_peak_18442	0	1
SRR2062968_terra_peak_1798	0	1
SRR2062968_terra_peak_17701	0	1
SRR2062968_terra_peak_15854	0	1
SRR2062968_terra_peak_15416	0	1
SRR2062968_terra_peak_15170	0	1
